Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
QUINOA ORGANIC,,8.90E+12,BAGRRY'S,,,,,,375,,,,QUINOAORGANIC.JPG/.JPEG,,,,,,,,,,,,,
CRUNCHY MUSESLI,,8.90E+12,BAGRRY'S,,,,,,320,,,,CRUNCHYMUSESLI.JPG/.JPEG,,,,,,,,,,,,,
CM CRANBERRIES,,8.90E+12,BAGRRY'S,,,,,,320,,,,CMCRANBERRIES.JPG/.JPEG,,,,,,,,,,,,,
MIX FRUIT MUESLI,,8.90E+12,BAGRRY'S,,,,,,320,,,,MIXFRUITMUESLI.JPG/.JPEG,,,,,,,,,,,,,
NAS CR. MUESLI,,8.90E+12,BAGRRY'S,,,,,,320,,,,NASCR.MUESLI.JPG/.JPEG,,,,,,,,,,,,,
HEALTHY CRUNCH,,8.90E+12,BAGRRY'S,,,,,,320,,,,HEALTHYCRUNCH.JPG/.JPEG,,,,,,,,,,,,,
PROTEIN MUESLI,,8.90E+12,BAGRRY'S,,,,,,399,,,,PROTEINMUESLI.JPG/.JPEG,,,,,,,,,,,,,
CORN FLAKES,,8.90E+12,BAGRRY'S,,,,,,330,,,,CORNFLAKES.JPG/.JPEG,,,,,,,,,,,,,
WHITE OATS,,8.90E+12,BAGRRY'S,,,,,,99,,,,WHITEOATS.JPG/.JPEG,,,,,,,,,,,,,
WHEAT FLAKES,,8.90E+12,BAGRRY'S,,,,,,195,,,,WHEATFLAKES.JPG/.JPEG,,,,,,,,,,,,,
VERMICELLI,,8.90E+12,BAMBINO,,,,,,45,,,,VERMICELLI.JPG/.JPEG,,,,,,,,,,,,,
BAYGON MOSQUITO KILLER,,8.90E+12,BAYGON,,,,,,266,,,,BAYGONMOSQUITOKILLER.JPG/.JPEG,,,,,,,,,,,,,
BAYGON MOSQUITO KILLER,,8.90E+12,BAYGON,,,,,,98,,,,BAYGONMOSQUITOKILLER.JPG/.JPEG,,,,,,,,,,,,,
BESON LIGHTS,,,BENSON & HEDGES,,,,,,320,,,,BESONLIGHTS.JPG/.JPEG,,,,,,,,,,,,,
BISLERI 250 ML,,8.91E+12,BISLERI,,,,,,6,,,,BISLERIBISLERI 250ML.JPG/.JPEG,,,,,,,,,,,,,
BISLERI 1L,,8.91E+12,BISLERI,,,,,,20,,,,BISLERIL.JPG/.JPEG,,,,,,,,,,,,,
MINERAL WATER,,8.91E+12,BISLERI,,,,,,6,,,,MINERALWATER.JPG/.JPEG,,,,,,,,,,,,,
BOROLINE ANTISEPTIC CREAM,,8.90E+12,BOROLINE,,,,,,38,,,,BOROLINEANTISEPTICCREAM.JPG/.JPEG,,,,,,,,,,,,,
BOROLINE NIGHT REPAIR CREAM,,8.90E+12,BOROLINE,,,,,,70,,,,BOROLINENIGHTREPAIRCREAM.JPG/.JPEG,,,,,,,,,,,,,
50-50,,8.90E+12,BRITANNIA,,,,,,10,,,,.JPG/.JPEG,,,,,,,,,,,,,
NUTRI CHOICE,,8.90E+12,BRITANNIA,,,,,,20,,,,NUTRICHOICE.JPG/.JPEG,,,,,,,,,,,,,
MARI GOLD,,8.90E+12,BRITANNIA,,,,,,30,,,,MARIGOLD.JPG/.JPEG,,,,,,,,,,,,,
GOOD DAY,,8.90E+12,BRITANNIA,,,,,,30,,,,GOODDAY.JPG/.JPEG,,,,,,,,,,,,,
HIDE & SEEK,,,BRITANNIA,,,,,,30,,,,HIDE&SEEK.JPG/.JPEG,,,,,,,,,,,,,
JIM JAM,,,BRITANNIA,,,,,,35,,,,JIMJAM.JPG/.JPEG,,,,,,,,,,,,,
