Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
WHEAT FLAKES,,8902710205213,BAGRRY'S,,,,,, 195.00 ,,,,,,,,,,,,,,,,,
VERMICELLI,,8901242114406,BAMBINO,,,,,, 45.00 ,,,,,,,,,,,,,,,,,
BAYGON MOSQUITO KILLER,,8904271200294,BAYGON,,,,,, 266.00 ,,,,,,,,,,,,,,,,,
BAYGON MOSQUITO KILLER,,8904271200317,BAYGON,,,,,, 98.00 ,,,,,,,,,,,,,,,,,
BESON LIGHTS,,,BENSON & HEDGES,,,,,, 320.00 ,,,,,,,,,,,,,,,,,
BISLERI 250 ML,,8906017290026,BISLERI,,,,,, 6.00 ,,,,,,,,,,,,,,,,,
BISLERI 1L,,8906017290040,BISLERI,,,,,, 20.00 ,,,,,,,,,,,,,,,,,
MINERAL WATER,,8906017290026,BISLERI,,,,,, 6.00 ,,,,,,,,,,,,,,,,,
BOROLINE ANTISEPTIC CREAM,,8901531300015,BOROLINE,,,,,, 38.00 ,,,,,,,,,,,,,,,,,
BOROLINE NIGHT REPAIR CREAM,,8901531300022,BOROLINE,,,,,, 70.00 ,,,,,,,,,,,,,,,,,
50-50,,8901063016699,BRITANNIA,,,,,, 10.00 ,,,,,,,,,,,,,,,,,
NUTRI CHOICE,,8901063142015,BRITANNIA,,,,,, 20.00 ,,,,,,,,,,,,,,,,,
MARI GOLD,,8901063023901,BRITANNIA,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
GOOD DAY,,8901063092402,BRITANNIA,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
HIDE & SEEK,,,BRITANNIA,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
JIM JAM,,,BRITANNIA,,,,,, 35.00 ,,,,,,,,,,,,,,,,,
BOURBON,,8901063139213,BRITANNIA,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
NUTRI CHOICE DIGESTIVE,,,BRITANNIA,,,,,, 55.00 ,,,,,,,,,,,,,,,,,
NUTRI CHOICE DIGESTIVE,,,BRITANNIA,,,,,, 20.00 ,,,,,,,,,,,,,,,,,
RED LABEL,,8901030450389,BROOKE BOND,,,,,, 210.00 ,,,,,,,,,,,,,,,,,
RED LABEL,,8901030397943,BROOKE BOND,,,,,, 390.00 ,,,,,,,,,,,,,,,,,
RED LABEL TEA,,8901030397943,BROOKE BOND,,,,,, 410.00 ,,,,,,,,,,,,,,,,,
RED LABEL TEA,,8901030450358,BROOKE BOND,,,,,, 110.00 ,,,,,,,,,,,,,,,,,
RED LABEL TEA,,8901030450389,BROOKE BOND,,,,,, 215.00 ,,,,,,,,,,,,,,,,,
RED LABEL TEA,,8901030674570,BROOKE BOND,,,,,, 140.00 ,,,,,,,,,,,,,,,,,
RED LABEL TEA NATURAL CARE,,8901030578205,BROOKE BOND,,,,,, 270.00 ,,,,,,,,,,,,,,,,,
CUSTARD POWDER,,8901030551956,BROWN & POLSON,,,,,, 35.00 ,,,,,,,,,,,,,,,,,
CORNFLOUR,,8901030518591,BROWN & POLSON,,,,,, 25.00 ,,,,,,,,,,,,,,,,,
CORNFLOUR,,8901030521218,BROWN & POLSON,,,,,, 77.00 ,,,,,,,,,,,,,,,,,
COFFEE,,8901030783029,BRU,,,,,, 10.00 ,,,,,,,,,,,,,,,,,
COFFEE,,8901030733994,BRU,,,,,, 2.00 ,,,,,,,,,,,,,,,,,
BOURNVITA,,8901314010025,CADBURY,,,,,, 223.00 ,,,,,,,,,,,,,,,,,
BOURNVITA BOTTLE,,7622201423193,CADBURY,,,,,, 410.00 ,,,,,,,,,,,,,,,,,
BOURNVITA BOTTLE,,7622201423155,CADBURY,,,,,, 223.00 ,,,,,,,,,,,,,,,,,
BOURNVITA BOTTLE,,7622201423117,CADBURY,,,,,, 110.00 ,,,,,,,,,,,,,,,,,
BOURNVITA POUCH,,7622201151416,CADBURY,,,,,, 302.00 ,,,,,,,,,,,,,,,,,
BOURNVITA POUCH,,7622201423131,CADBURY,,,,,, 209.00 ,,,,,,,,,,,,,,,,,
HING,,,CATCH,,,,,, 40.00 ,,,,,,,,,,,,,,,,,
DRY GINGER POWDER,,,CATCH,,,,,, 68.00 ,,,,,,,,,,,,,,,,,
SODA,,8908004804087,CATCH,,,,,, 25.00 ,,,,,,,,,,,,,,,,,
BLACK CURRENT SODA,,8908004804339,CATCH,,,,,, 50.00 ,,,,,,,,,,,,,,,,,
SHOW POLISH BLACK,,8901396051008,CHERRY,,,,,, 59.00 ,,,,,,,,,,,,,,,,,
SHOW POLISH DARK TAN,,8901396053002,CHERRY,,,,,, 59.00 ,,,,,,,,,,,,,,,,,
SHOE POLISH LIQUID DARK TAN,,8901396056003,CHERRY,,,,,, 85.00 ,,,,,,,,,,,,,,,,,
SHOE POLISH LIQUID BLACK,,8901396055006,CHERRY,,,,,, 85.00 ,,,,,,,,,,,,,,,,,
VEG HAKKA NOODLES,,8901595851218,CHINGS,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
TOILET ROLL 3 PLY,,8906083863087,CLARET,,,,,, 360.00 ,,,,,,,,,,,,,,,,,
TISSUE PAPER 2 PLY,,8906083862547,CLARET,,,,,, 55.00 ,,,,,,,,,,,,,,,,,
REGULAR,,,CLASSIC,,,,,, 330.00 ,,,,,,,,,,,,,,,,,
MILD,,,CLASSIC,,,,,, 330.00 ,,,,,,,,,,,,,,,,,
ULTRA MILD,,,CLASSIC,,,,,, 330.00 ,,,,,,,,,,,,,,,,,
BIG GOLDFLAKE,,,CLASSIC,,,,,, 165.00 ,,,,,,,,,,,,,,,,,
TOOTHPASTE,,8901030788055,CLOSEUP,,,,,, 85.00 ,,,,,,,,,,,,,,,,,
COCO-COLA,,,COCA COLA,,,,,, 40.00 ,,,,,,,,,,,,,,,,,
LIMCA,,,COCA COLA,,,,,, 40.00 ,,,,,,,,,,,,,,,,,
THUMS UP,,8901764042270,COCA COLA,,,,,, 40.00 ,,,,,,,,,,,,,,,,,
SPRITE,,8901764032271,COCA COLA,,,,,, 40.00 ,,,,,,,,,,,,,,,,,
COKE 250ML,,,COCA COLA,,,,,, 20.00 ,,,,,,,,,,,,,,,,,
SPRITE 250ML,,8901764032912,COCA COLA,,,,,, 20.00 ,,,,,,,,,,,,,,,,,
COKE 1.25L,,8901764012808,COCA COLA,,,,,, 65.00 ,,,,,,,,,,,,,,,,,
LIMCA 1.25L,,8901764052804,COCA COLA,,,,,, 65.00 ,,,,,,,,,,,,,,,,,
COKE,,,COCA COLA,,,,,, 40.00 ,,,,,,,,,,,,,,,,,
THUMSUP,,,COCA COLA,,,,,, 20.00 ,,,,,,,,,,,,,,,,,
DIET COKE,,8901764061257,COCA COLA,,,,,, 35.00 ,,,,,,,,,,,,,,,,,
PULPY ORANGE,,8901764362804,COCA COLA,,,,,, 20.00 ,,,,,,,,,,,,,,,,,
ZIG-ZAG BRUSH,,8901314011664,COLGATE,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
TOOTHPASTE,,8901314010025,COLGATE,,,,,, 95.00 ,,,,,,,,,,,,,,,,,
TOOTHPASTE,,8901314010520,COLGATE,,,,,, 52.00 ,,,,,,,,,,,,,,,,,
TOOTHPASTE,,,COLGATE,,,,,, 10.00 ,,,,,,,,,,,,,,,,,
PALMOLIVE LIQUID HAND WASH,,8901314006172,COLGATE -PALMOLIVE,,,,,, 99.00 ,,,,,,,,,,,,,,,,,
COLGATE PLAX MOUTH WASH,,8901314077998,COLGATE -PALMOLIVE,,,,,, 120.00 ,,,,,,,,,,,,,,,,,
COLGATE TOOTHPASTE JUMBO,,8901314543172,COLGATE -PALMOLIVE,,,,,, 217.00 ,,,,,,,,,,,,,,,,,
