Name,code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
SODA,8908004804087,code128,CATCH,C1,1111,,,25.00,25.00,,,,,,,,,,,,,,,Mr Demo Supplier,,25.00
GULAB JAL,89005583,code128,DABUR,C1,1111,,,28.00,28.00,,,,,,,,,,,,,,,Mr Demo Supplier,,28.00
STAYFREE SECURE 6 PADS,8901012166604,code128,JHONSON & JHONSON,C1,1111,,,28.00,28.00,,,,,,,,,,,,,,,Mr Demo Supplier,,28.00
KASURI METHI,8904043927305,code128,TATA SAMPANN,C1,1111,,,28.00,28.00,,,,,,,,,,,,,,,Mr Demo Supplier,,28.00
SABJI MASALA,8901786130504,code128,EVEREST,C1,1111,,,29.00,29.00,,,,,,,,,,,,,,,Mr Demo Supplier,,29.00
REX BAKING POWDER,8901030518584,code128,HUL,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
LUX BATH SOAP,8901030682322,code128,HUL,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
VIM BAR ,8901030812972,code128,HUL,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
MARI GOLD,8901063023901,code128,BRITANNIA,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
GOOD DAY,8901063092402,code128,BRITANNIA,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
BOURBON,8901063139213,code128,BRITANNIA,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
ZIG-ZAG BRUSH,8901314011664,code128,COLGATE,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
MORTIEN POWER COIL,8901396506003,code128,HINDUSTAN FOODS,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
BUTTER PEPPER,8901512540508,code128,ACT II,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
BUTTER DELIGHT,8901512541901,code128,ACT II,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
XTREME BUTTER,8901512546104,code128,ACT II,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
MOVIE THEATRE BUTTER,8901512556301,code128,ACT II,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
VEG HAKKA NOODLES,8901595851218,code128,CHINGS,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
FLAVOURED MILK ELAICHI,8904124107961,code128,ANANDA,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
FLAVOURED MILK BUTTERSCOTCH,8904124107978,code128,ANANDA,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
FLAVOURED MILK KESAR,8904124108005,code128,ANANDA,C1,1111,,,30.00,30.00,,,,,,,,,,,,,,,Mr Demo Supplier,,30.00
TURMERIC POWDER,8904043927176,code128,TATA SAMPANN,C1,1111,,,31.00,31.00,,,,,,,,,,,,,,,Mr Demo Supplier,,31.00
CORRIANDER POWDER,8904043927190,code128,TATA SAMPANN,C1,1111,,,31.00,31.00,,,,,,,,,,,,,,,Mr Demo Supplier,,31.00
CLASSIC SALTED,8901512564306,code128,ACT II,C1,1111,,,33.00,33.00,,,,,,,,,,,,,,,Mr Demo Supplier,,33.00
GOLDEN SIZZLE,8901512564405,code128,ACT II,C1,1111,,,33.00,33.00,,,,,,,,,,,,,,,Mr Demo Supplier,,33.00
LAL MIRCHI,8902167004384,code128,MDH,C1,1111,,,33.00,33.00,,,,,,,,,,,,,,,Mr Demo Supplier,,33.00
APPY FIZZ,8902579000004,code128,PARLE AGRO,C1,1111,,,33.00,33.00,,,,,,,,,,,,,,,Mr Demo Supplier,,33.00
GOODNIGHT ACTIVE COIL,8901157004342,code128,GODREJ,C1,1111,,,34.00,34.00,,,,,,,,,,,,,,,Mr Demo Supplier,,34.00
CUSTARD POWDER,8901030551956,code128,BROWN & POLSON,C1,1111,,,35.00,35.00,,,,,,,,,,,,,,,Mr Demo Supplier,,35.00
BROWN & POLSON CUSTARD POWDER,8901030551956,code128,HUL,C1,1111,,,35.00,35.00,,,,,,,,,,,,,,,Mr Demo Supplier,,35.00
SCOTCH BRITE,8901361302456,code128,SCOTCH BRITE,C1,1111,,,35.00,35.00,,,,,,,,,,,,,,,Mr Demo Supplier,,35.00
DIET COKE,8901764061257,code128,COCA COLA,C1,1111,,,35.00,35.00,,,,,,,,,,,,,,,Mr Demo Supplier,,35.00
STAYFREE SECURE XL 6 PADS,8901012166635,code128,JHONSON & JHONSON,C1,1111,,,36.00,36.00,,,,,,,,,,,,,,,Mr Demo Supplier,,36.00
ZANDU PAIN RELIEF BALM,8901248701105,code128,EMAMI,C1,1111,,,37.00,37.00,,,,,,,,,,,,,,,Mr Demo Supplier,,37.00
MEAT MASALA,8902167000829,code128,MDH,C1,1111,,,37.00,37.00,,,,,,,,,,,,,,,Mr Demo Supplier,,37.00
BOROPLUS ANITSEPTIC CREAM,8901248101103,code128,EMAMI,C1,1111,,,38.00,38.00,,,,,,,,,,,,,,,Mr Demo Supplier,,38.00
