"Product Code","Product Name",Variant,Expected,Counted
8901012116661,"JOHNSONS BABY SOAP",,1000.0000,
8901012116715,"JOHNSONS BABY OIL",,1000.0000,
8901012116722,"JOHNSONS BABY OIL",,1000.0000,
8901012116739,"JOHNSONS BABY OIL",,1000.0000,
8901012116791,"JOHNSONS BABY POWDER",,1000.0000,
8901012116814,"JOHNSONS BABY CREAM",,1000.0000,
8901012116821,"JOHNSONS BABY CREAM",,1000.0000,
8901012116845,"JOHNSONS BABY LOTION",,1000.0000,
8901012116852,"JOHNSONS BABY LOTION",,1000.0000,
8901012116883,"JOHNSONS TOP-TO-TOE BABY BATH",,1000.0000,
8901012116890,"JOHNSONS TOP-TO-TOE BABY BATH",,1000.0000,
8901012116920,"JOHNSONS BABY SHAMPOO",,1000.0000,
8901012116944,"JOHNSONS BABY SHAMPOO",,1000.0000,
8901012116975,"JHONSONS MILK + RICE LOTION",,1000.0000,
8901012117002,"JOHNSONS MILK + RICE BABY CREAM",,1000.0000,
8901012118085,"JOHNSONS BABY HAIR OIL",,1000.0000,
8901012118092,"JOHNSONS BABY HAIR OIL",,1000.0000,
8901012119150,"JOHNSONS BABY WIPES",,1000.0000,
8901012133057,"LISTERINE MOUTH WASH",,1000.0000,
8901012165256,"STAYFREE SECURE 20 PADS",,1000.0000,
8901012165737,"STAYFREE SECURE 20 PADS",,1000.0000,
8901012166482,"STAYFREE ALL NIGHT ULTRA DRY XL 7 PADS",,1000.0000,
8901012166512,"STAYFREE ALL NIGHT ULTRA DRY XL 14 PADS",,1000.0000,
8901012166604,"STAYFREE SECURE 6 PADS",,1000.0000,
8901012166635,"STAYFREE SECURE XL 6 PADS",,1000.0000,
8901012166710,"STAYFREE ALL NIGHT ULTRA DRY XL 42 PADS",,1000.0000,
8901012189184,"CLEAN & CLEAR FOAMING FACE WASH",,1000.0000,
8901012189191,"CLEAN & CLEAR FOAMING FACE WASH",,1000.0000,
8901012189368,"CLEAN & CLEAR MORNING ENERGY FACE WASH",,1000.0000,
8901023004599,"CINTHOL BATH SOAP COOL",,1000.0000,
8901023005800,"EZEE LIQUID WINTER AND CHIFFON",,2000.0000,
